quality,strip width,act weigth,slab width,entry weigth,widthRM-aver,crown-aver,T-aver-RMexit,T-dev-RMexit,T-FMexit,cast speed-aver,cast speed-max(m/s),cast speed-min,pressure-exit-aver,pressure-exit-max,pressure-exit-min,T-R1EN,T-IHEN,T-IHEX
ok,1271.5,20.43,1290,20.68,1286,0.005,978,3,850,5.82,0.097,0.097,38112.204,38802.08,37413.192,966,922,1148
bad,1271.8,20.475,1290,20.68,1286,0.006,976,3,850,5.82,0.097,0.097,38129.212,38871.528,37343.752,964,922,1147
ok,1271.8,20.41,1290,20.68,1286,0.006,976,3,850,5.82,0.097,0.097,38132.636,38784.72,37274.304,963,921,1147
ok,1272.7,20.46,1290,20.68,1286,0.009,979,3,850,5.82,0.097,0.096,38124.716,38715.276,37534.72,968,921,1147
ok,1272.8,16.38,1290,16.544,1287,0.007,978,3,850,5.82,0.097,0.096,38101.584,38975.692,37326.388,969,920,1147
bad,1258.1,16.365,1275,16.544,1271,0.001,988,2,850,5.82,0.097,0.097,38062.996,39079.86,37083.332,974,925,1142
bad,1257.5,16.35,1275,16.544,1271,0.001,987,3,850,5.82,0.097,0.097,37990.1,39045.14,37187.5,971,924,1141
ok,1256.6,16.375,1275,16.544,1270,0.002,986,4,850,5.82,0.097,0.097,38015.052,38697.916,37447.916,972,923,1142
ok,1256.7,16.305,1275,16.544,1270,0.007,990,4,850,5.82,0.097,0.097,38040.476,38628.468,37430.556,979,925,1145
ok,1256.6,16.345,1275,16.544,1271,0.004,988,3,850,5.82,0.097,0.097,38061.268,38819.444,37395.832,979,926,1145
bad,1256.3,16.335,1275,16.544,1271,0.004,991,3,850,5.82,0.097,0.097,38062.236,38802.08,37482.64,984,928,1144
ok,1255.8,22.44,1275,22.748,1270,0.007,987,2,850,5.82,0.097,0.097,38070.052,38784.72,37447.916,977,924,1140
ok,1255.4,20.43,1275,20.68,1270,0.009,985,3,850,5.82,0.097,0.097,38052.524,38697.916,37413.192,975,924,1141
ok,1256.2,16.365,1275,16.544,1270,0.01,983,3,850,5.82,0.097,0.097,38058.076,38645.832,37500,974,923,1142
ok,1256.6,16.345,1275,16.544,1271,0.011,986,3,850,5.82,0.097,0.097,38092.104,38645.832,37430.556,978,923,1142
ok,1255.6,16.36,1275,16.544,1270,0.011,988,3,850,5.82,0.097,0.097,38084.236,38836.804,37343.752,979,924,1142
ok,1255.6,16.36,1275,16.544,1271,0.011,988,3,850,5.82,0.097,0.097,38129.508,38993.056,37187.5,980,925,1142
ok,1256.6,16.35,1275,16.544,1272,0.012,981,5,850,5.82,0.097,0.097,38099.208,38819.444,37274.304,973,922,1142
ok,1256.3,16.35,1275,16.544,1271,0.012,986,3,850,5.82,0.097,0.097,38116.428,38923.608,37274.304,982,922,1142
ok,1256,16.355,1275,16.544,1271,0.012,989,3,850,5.82,0.097,0.097,38114.6,38645.832,37569.444,982,925,1143
ok,1255.9,16.35,1275,16.544,1271,0.012,989,3,850,5.82,0.097,0.097,38046.9,38576.388,37500,983,925,1143
ok,1255.8,16.34,1275,16.544,1271,0.012,990,3,850,5.82,0.097,0.097,38084.84,38576.388,37586.804,981,924,1142
ok,1256.4,16.375,1275,16.544,1271,0.012,987,3,850,5.82,0.097,0.097,38078.74,38628.468,37569.444,965,921,1142
ok,1257.1,16.36,1275,16.544,1272,0.013,986,3,850,5.82,0.097,0.096,38050.428,38559.028,37569.444,965,920,1141
ok,1257.7,16.345,1275,16.544,1272,0.013,986,3,850,5.82,0.097,0.097,38100.704,38645.832,37656.248,962,920,1141
ok,1256.7,16.335,1275,16.544,1273,0.014,986,3,850,5.82,0.097,0.097,38065.252,38697.916,37586.804,955,921,1142
ok,1258.2,16.325,1275,16.544,1274,0.014,987,3,850,5.82,0.097,0.097,38097.308,38732.64,37517.36,962,923,1142
ok,1258.7,16.37,1275,16.544,1274,0.015,986,4,850,5.82,0.097,0.097,38095.632,38663.192,37500,963,924,1143
bad,1258.3,20.415,1275,20.68,1274,0.014,985,3,850,5.82,0.097,0.097,38133.436,38732.64,37500,965,923,1144
ok,1258.7,16.335,1275,16.544,1275,0.015,986,5,850,5.82,0.097,0.097,38110.228,38715.276,37413.192,959,925,1144
ok,1258.7,16.33,1275,16.544,1274,0.014,988,3,850,5.82,0.097,0.097,38074.044,38645.832,37500,965,927,1143
ok,1259,16.36,1275,16.544,1274,0.015,988,3,850,5.82,0.097,0.097,38086.696,38784.72,37343.752,965,926,1142
ok,1259.3,16.295,1275,16.544,1274,0.016,988,4,850,5.76,0.097,0.095,38080.22,38750,37447.916,965,925,1142
ok,1259.3,16.34,1275,16.544,1274,0.017,988,3,850,5.7,0.095,0.094,38092.928,38906.248,37430.556,969,925,1141
ok,1260.1,16.35,1275,16.544,1274,0.018,985,4,850,5.58,0.094,0.093,38073.872,38628.468,37517.36,969,921,1141
bad,1255.8,21.44,1275,21.714,1267,0.006,986,2,850,5.82,0.097,0.096,38066.48,38732.64,37500,990,923,1153
bad,1256.2,18.395,1275,18.612,1268,0.008,985,3,850,5.82,0.097,0.097,38061.736,39079.86,37135.416,991,923,1152
ok,1256.3,18.31,1275,18.612,1267,0.01,986,3,850,5.82,0.097,0.096,38096.784,39079.86,37135.416,991,924,1152
ok,1257,18.31,1275,18.612,1268,0.014,990,3,850,5.82,0.097,0.097,38086.228,38958.332,37135.416,993,924,1154
ok,1256.1,18.36,1275,18.612,1269,0.001,991,3,850,5.82,0.097,0.097,38048.808,38975.692,37222.22,998,928,1149
ok,1256.1,22.435,1275,22.748,1268,0.002,995,3,850,5.82,0.097,0.097,38058.74,38836.804,37361.108,1000,930,1153
ok,1256.2,22.42,1275,22.748,1268,0.003,996,3,850,5.82,0.097,0.097,38073.8,38750,37309.028,1002,930,1153
ok,1256,22.38,1275,22.748,1268,0.004,995,2,850,5.82,0.097,0.097,38031.892,38697.916,37447.916,1002,929,1152
ok,1255.6,22.375,1275,22.748,1268,0.005,996,2,850,5.82,0.097,0.097,38040.256,38802.08,37413.192,1003,930,1152
ok,1253.9,22.42,1275,22.748,1268,0.005,997,2,850,5.82,0.097,0.097,38075.572,39045.14,37239.58,1005,930,1152
ok,1251.9,22.395,1275,22.748,1268,0.005,996,2,850,5.82,0.097,0.097,38078.956,39166.664,37152.776,1004,929,1152
ok,1251.1,22.4,1275,22.748,1268,0.006,997,2,850,5.82,0.097,0.096,38103.664,39131.944,37135.416,1005,930,1153
ok,1251.6,22.45,1275,22.748,1268,0.008,996,3,850,5.82,0.097,0.096,38054.848,38975.692,37152.776,1004,929,1153
ok,1252.8,22.415,1275,22.748,1268,0.01,996,2,850,5.82,0.097,0.097,38062.972,38993.056,37187.5,1004,929,1153
bad,1253.9,22.39,1275,22.748,1269,0.012,997,2,850,5.82,0.097,0.097,38068.6,38923.608,37309.028,1004,929,1153
ok,1254.2,18.37,1275,18.612,1269,0.013,997,2,850,5.82,0.097,0.097,38055.748,38802.08,37361.108,1006,929,1153
ok,1255,18.315,1275,18.612,1269,0.015,995,2,850,5.82,0.097,0.097,38068.02,38715.276,37482.64,1005,927,1159
ok,1254,18.355,1275,18.612,1269,0.014,994,3,850,5.82,0.097,0.097,38057.748,38750,37500,1005,929,1160
ok,1254.7,22.42,1275,22.748,1270,0.014,995,3,850,5.82,0.097,0.097,38072.3,38802.08,37326.388,1004,928,1161
ok,1255.2,22.395,1275,22.748,1270,0.016,994,3,850,5.82,0.097,0.097,38087.068,38958.332,37170.14,1005,928,1161
ok,1255,22.41,1275,22.748,1270,0.015,994,2,850,5.82,0.097,0.097,38092.82,38975.692,37152.776,1006,929,1154
ok,1254.9,22.41,1275,22.748,1270,0.016,995,3,850,5.82,0.097,0.097,38090.648,39062.5,37222.22,1006,930,1155
ok,1255,20.33,1275,20.68,1271,0.017,995,2,850,5.82,0.097,0.097,38109.472,38871.528,37309.028,1005,929,1154
ok,1256.4,20.39,1275,20.68,1271,0.021,993,2,850,5.82,0.097,0.096,38080.892,38819.444,37343.752,1003,929,1154
ok,1256.1,22.44,1275,22.748,1271,0.02,993,3,850,5.82,0.097,0.096,38071.36,38906.248,37361.108,1004,929,1152
ok,1256.9,22.425,1275,22.748,1271,0.021,990,3,850,5.82,0.097,0.097,38089.672,38819.444,37430.556,1002,925,1143
ok,1256.1,22.43,1275,22.748,1271,0.019,990,3,850,5.82,0.097,0.097,38084.096,38871.528,37326.388,1002,925,1151
ok,1255.5,22.455,1275,22.748,1271,0.018,988,3,850,5.82,0.097,0.097,38120.28,38888.888,37395.832,999,924,1150
ok,1255.9,22.32,1275,22.748,1271,0.02,988,3,850,5.82,0.097,0.097,38113.636,38906.248,37309.028,999,923,1150
ok,1256.2,22.465,1275,22.748,1271,0.021,989,2,850,5.82,0.097,0.097,38097.384,38750,37326.388,999,923,1149
ok,1256.5,20.43,1275,20.68,1271,0.022,988,3,850,5.82,0.097,0.097,38085.564,38576.388,37586.804,996,923,1149
ok,1256.4,20.445,1275,20.68,1271,0.024,988,2,850,5.82,0.097,0.097,38105.896,38819.444,37447.916,996,923,1148
ok,1256.8,18.385,1275,18.612,1271,0.024,988,3,850,5.82,0.097,0.097,38083.164,38975.692,37222.22,996,923,1148
ok,1256.9,21.435,1275,21.714,1271,0.024,988,3,850,5.82,0.097,0.097,38108.78,39079.86,37187.5,996,924,1147
ok,1256.8,21.425,1275,21.714,1271,0.026,989,2,850,5.82,0.097,0.097,38077.596,38888.888,37395.832,997,924,1154
ok,1260.2,16.44,1275,16.544,1274,0.021,966,3,850,5.7,0.095,0.095,38008.396,38958.332,37065.968,0,896,0
ok,1260.1,20.52,1275,20.68,1273,0.022,965,3,850,5.7,0.095,0.095,38018.272,38958.332,36979.164,0,894,0
ok,1261.6,15.42,1275,15.51,1274,0.022,965,4,850,5.7,0.095,0.095,38025.652,38975.692,37187.5,0,898,0
ok,1261.3,15.36,1275,15.51,1274,0.021,964,4,850,5.7,0.095,0.095,38004.988,38819.444,37135.416,0,897,0
ok,1261.8,15.39,1275,15.51,1274,0.022,963,4,850,5.7,0.095,0.095,37982.644,38975.692,36927.08,0,899,0
ok,1261.2,15.4,1275,15.51,1274,0.022,962,4,850,5.7,0.095,0.095,38061.624,39062.5,36875,0,897,0
ok,1261.3,18.46,1275,18.612,1274,0.022,964,3,850,5.7,0.095,0.095,38002.564,39184.028,36822.916,0,897,0
ok,1261.5,18.47,1275,18.612,1274,0.023,962,4,850,5.7,0.095,0.095,38011.888,39131.944,36961.804,0,895,0
ok,1260.9,22.53,1275,22.748,1274,0.024,960,4,850,5.7,0.095,0.095,37989.048,39097.22,37048.608,0,894,0
ok,1260.5,18.505,1275,18.612,1273,0.021,966,4,850,5.7,0.095,0.095,37998.868,39131.944,36875,0,897,0
ok,1274.5,16.39,1290,16.544,1288,0.007,976,2,850,5.7,0.095,0.095,38034.928,39010.416,37083.332,0,905,0
ok,1274.5,21.3,1290,21.714,1288,0.007,976,3,850,5.7,0.095,0.095,38080.976,38888.888,37187.5,0,906,0
ok,1275,22.48,1290,22.748,1288,0.01,978,3,850,5.7,0.095,0.095,38107.592,39253.468,36822.916,0,907,0
ok,1275.7,21.265,1290,21.714,1288,0.011,978,2,850,5.58,0.093,0.093,38103.868,39149.304,36979.164,0,906,0
bad,1275.4,18.45,1290,18.612,1288,0.011,979,2,850,5.58,0.093,0.093,38096.352,39079.86,36909.72,0,906,0
ok,1276,22.52,1290,22.748,1288,0.011,979,3,850,5.58,0.093,0.093,38060.78,39045.14,36996.528,0,906,0
ok,1275.9,22.53,1290,22.748,1288,0.01,978,2,850,5.58,0.093,0.093,38082.236,39131.944,36979.164,0,905,0
ok,1276.7,20.45,1290,20.68,1288,0.013,978,2,850,5.58,0.093,0.093,38085.932,39079.86,37100.692,0,905,0
ok,1277.1,16.355,1290,16.544,1289,0.014,979,2,850,5.58,0.093,0.093,38115.824,39236.108,37065.968,0,904,0
ok,1276.8,20.515,1290,20.68,1288,0.017,978,2,850,5.58,0.093,0.093,38096.428,39079.86,37170.14,0,905,0
ok,1278,20.46,1290,20.68,1287,0.02,975,2,850,5.58,0.093,0.093,38095.412,39097.22,36927.08,0,903,0
ok,1275.7,16.47,1290,16.544,1288,0.014,973,3,850,5.58,0.093,0.093,38125.216,39322.916,36753.468,0,902,0
ok,1276.7,21.27,1290,21.733,1287,0.017,970,2,850,5.58,0.093,0.093,38133.668,39444.444,36718.752,0,899,0
ok,1276.8,18.44,1290,18.612,1287,0.008,965,4,850,5.7,0.095,0.095,32496.8,33055.554,32065.97,0,899,0
ok,1277.6,18.39,1290,18.612,1287,0.01,964,3,850,5.7,0.095,0.095,32516.344,32986.108,32065.97,0,899,0
